"state_abbr","division","city","total_population","black_population","perc_black","total_newspapers","black_media_groups","latino_media_groups","black_latino_media","inn_members","nabj_chapters","gun_incidents","gun_incidents_per_capita","murder_by_police","murder_by_police_per_capita","total_newspapers_per_capita","gva_rank","gvpc_rank","pva_rank","pvapc_rank","local_rank","localpc_rank","inn_rank","blm_rank","black_community_rank","newspapers_per_capita_rank"
"IN","East North Central","Spurgeon",139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Star City",1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","State Line",173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Staunton",329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Stendal",800,56,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4959,0
"IN","East North Central","Stilesville",976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Stinesville",212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Stockwell",303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Straughn",730,6,0.00821917808219178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11856,0
"IN","East North Central","Sullivan",7731,0,0,1,0,0,0,0,0,0,0,1,0.000129349372655543,0.000129349372655543,0,0,52,972,18,2010,0,20,16415,2010
"IN","East North Central","Sulphur Springs",335,1,0.00298507462686567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14528,0
"IN","East North Central","Sumava Resorts",81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Summitville",2336,13,0.00556506849315068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13087,0
"IN","East North Central","Sunman",6626,0,0,0,0,0,0,0,0,0,0,1,0.000150920615756112,0,0,0,52,844,0,0,0,20,16415,0
"IN","East North Central","Swayzee",1683,19,0.0112893642305407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10759,0
"IN","East North Central","Sweetser",884,4,0.00452488687782805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13631,0
"IN","East North Central","Switz City",520,2,0.00384615384615385,0,0,0,0,0,0,0,0,0,0,0,160,4605,0,0,0,0,0,20,14003,0
"IN","East North Central","Syracuse",9162,54,0.00589390962671906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12922,0
"IN","East North Central","Taswell",1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Taylorsville",979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Tell City",11022,167,0.0151515151515152,1,0,0,0,0,0,0,0,0,0,9.07276356378153e-05,0,0,0,0,18,2498,0,20,9710,2498
"IN","East North Central","Tennyson",1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Terre Haute",94640,7124,0.0933917099764972,1,0,0,0,0,0,17,0.000179628064243449,4,4.22654268808115e-05,1.05663567202029e-05,143,2087,49,2142,18,4460,0,20,4216,4460
"IN","East North Central","Thayer",176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Thorntown",3148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Tippecanoe",833,26,0.0312124849939976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7365,0
"IN","East North Central","Tipton",8592,12,0.00139664804469274,1,0,0,0,0,0,1,0.000116387337057728,0,0,0.000116387337057728,159,2756,0,0,18,2150,0,20,15602,2150
"IN","East North Central","Topeka",5682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Trafalgar",5286,33,0.00624290578887628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12754,0
"IN","East North Central","Troy",615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Tunnelton",167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Twelve Mile",967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Underwood",1241,51,0.0410958904109589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6483,0
"IN","East North Central","Union City",4960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
